,2016,,2017,,2018,,2019,,2020,
,인구,인구밀도,인구,인구밀도,인구,인구밀도,인구,인구밀도,인구,인구밀도
계,"51,218",510,"51,362",512,"51,607",514,"51,709",515,"51,781",516
서울,"9,843","16,263","9,766","16,136","9,705","16,034","9,662","15,964","9,602","15,865"
부산,"3,447","4,477","3,424","4,447","3,400","4,416","3,373","4,380","3,344","4,342"
대구,"2,461","2,786","2,458","2,782","2,450","2,773","2,432","2,753","2,419","2,738"
인천,"2,907","2,736","2,924","2,750","2,939","2,764","2,944","2,769","2,951","2,770"
광주,"1,502","2,997","1,495","2,984","1,493","2,980","1,494","2,980","1,488","2,969"
대전,"1,536","2,848","1,528","2,832","1,518","2,813","1,509","2,796","1,500","2,780"
울산,"1,166","1,099","1,159","1,092","1,154","1,088","1,147","1,080","1,140","1,073"
세종,234,504,266,571,304,653,331,712,349,750
경기,"12,600","1,237","12,786","1,255","13,031","1,279","13,238","1,299","13,405","1,315"
강원,"1,521",90,"1,521",90,"1,521",90,"1,517",90,"1,515",90
충북,"1,601",216,"1,609",217,"1,619",219,"1,626",219,"1,632",220
충남,"2,126",258,"2,153",262,"2,180",265,"2,188",265,"2,204",267
전북,"1,835",227,"1,829",227,"1,820",226,"1,803",223,"1,792",222
전남,"1,798",146,"1,795",146,"1,790",145,"1,773",144,"1,764",143
경북,"2,683",141,"2,675",141,"2,674",141,"2,665",140,"2,655",140
경남,"3,338",317,"3,339",317,"3,356",318,"3,350",318,"3,350",318
제주,618,334,635,343,653,353,660,356,670,362
수도권,"25,350","2,139","25,476","2,149","25,675","2,165","25,844","2,179","25,958","2,188"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
