범죄분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
절도,14465,12829,15376,15402,17096,17061,16760,16698,16664,15851,13494,12659
장물,211,186,162,167,170,134,126,169,154,133,128,194
사기,22208,18731,21351,19702,19621,19835,20407,20529,18776,19322,20120,21040
횡령,4770,3580,4109,4270,4708,4635,4738,4571,4587,4596,4039,4007
배임,620,369,474,408,440,440,437,394,372,393,404,486
손괴,4276,3869,4597,4712,5045,5107,5374,5295,5224,4931,3994,4134
살인,68,62,71,77,77,83,79,81,74,62,60,64
강도,81,88,87,78,95,92,83,78,74,91,75,68
방화,148,102,133,113,114,135,80,109,120,109,96,99
성폭력,1951,1937,2699,2887,3307,3458,3572,3580,3217,2531,1887,1798
폭행,13068,11636,13768,13714,14545,14652,15178,15452,15380,14419,11975,11711
상해,3863,3491,4053,4206,4443,4513,4693,4411,4283,4024,3581,3815
협박,1187,1159,1388,1402,1436,1404,1478,1626,1477,1354,1064,1032
공갈,429,482,506,433,413,378,446,394,392,358,365,385
약취와유인,17,13,17,14,16,17,27,20,20,19,19,17
체포와감금,124,123,159,140,163,145,153,176,158,150,120,117
폭력행위등(손괴·강요·주거침입등),69,57,55,66,77,103,72,60,75,79,69,61
폭력행위등(단체등의구성·활동),13,21,8,12,3,14,14,9,2,9,19,16
통화,226,196,302,291,240,221,261,269,171,178,173,270
유가증권/인지/우표,39,13,24,38,27,26,20,14,25,25,27,34
문서,1549,1148,1362,1392,1286,1182,1346,1338,1125,1168,1144,1329
인장,60,62,57,70,157,134,63,139,126,53,61,41
직무유기,139,75,104,96,140,109,115,98,107,99,127,107
직권남용,145,111,117,107,135,118,114,110,107,89,101,118
수뢰,131,45,79,71,64,53,49,59,82,40,42,47
증뢰,60,24,36,32,34,41,25,31,42,17,22,31
도박과 복표,978,959,726,856,611,587,708,725,616,695,740,598
신앙,36,21,32,25,25,25,40,25,42,16,20,16
기타음란행위,96,133,240,260,337,324,382,392,364,250,137,124
과실치사상,183,147,201,210,234,273,257,256,251,228,184,159
업무상과실치사상,266,253,295,248,291,313,330,324,311,297,298,259
실화,196,202,412,300,244,213,89,84,148,125,161,177
명예,1918,1722,1897,2178,2340,2363,2546,2308,2588,2140,1991,2063
권리행사방해,1069,920,1002,1008,1307,1089,1097,1006,921,922,922,919
신용업무경매,1932,1824,2081,1847,1865,1827,1880,1924,1972,1911,1797,1884
주거침입,768,802,888,966,1047,1108,1139,1308,1142,1050,932,816
비밀침해,7,7,10,9,7,14,20,8,8,9,7,7
유기,31,14,32,19,30,25,30,25,25,28,20,33
교통방해,108,79,117,125,124,136,120,139,128,124,89,99
공무방해,1078,865,1077,1165,1096,1101,1207,1159,1099,1141,946,992
도주와범인은닉,51,45,56,57,40,38,38,46,60,31,40,44
위증과증거인멸,333,137,345,323,362,311,298,253,316,305,364,282
무고,605,424,468,420,497,494,495,502,478,466,436,467
공안을해하는죄,8,4,7,9,7,5,5,8,7,7,8,3
내란의죄,8,0,5,0,1,0,0,1,0,0,4,1
음용수에관한죄,1,2,1,4,3,4,3,3,0,0,0,0
일수와수리에관한죄,0,0,0,0,4,2,1,0,0,0,0,0
기타,14,3,4,2,3,2,5,2,2,3,3,2
가정폭력범죄의처벌등에관한특례법,18,21,7,14,16,23,15,17,22,13,16,15
가축분뇨의관리및이용에관한법률,59,57,57,82,67,69,114,109,68,62,45,40
감염병의예방및관리에관한법률,6,7,9,9,7,10,6,16,11,18,7,4
개발제한구역의지정및관리에관한특별조치법,146,54,93,93,105,86,63,49,76,72,65,64
개인정보보호법,124,82,103,96,103,112,114,116,83,81,83,102
건강기능식품에관한법률,53,50,34,38,32,32,20,67,79,32,21,17
건설기계관리법,37,44,60,53,44,66,47,40,49,40,47,34
건설산업기본법,209,411,396,298,449,412,321,231,198,179,397,360
건축법,925,219,333,273,338,373,321,319,293,315,329,392
게임산업진흥에관한법률,509,924,1403,635,583,510,565,456,482,516,366,394
결혼중개업의관리에관한법률,9,11,9,7,4,1,5,10,2,6,5,6
경범죄처벌법,513,520,621,617,565,567,523,609,554,551,429,422
고용보험법,236,155,231,247,207,177,178,188,149,201,150,152
공유수면관리및매립에관한법률,63,19,52,35,60,112,310,229,39,39,75,54
공유재산및물품관리법,24,2,8,19,60,95,91,4,14,9,20,7
공인중개사법,67,69,106,110,71,83,72,70,64,77,101,65
공중위생관리법,137,155,115,145,170,133,189,183,112,122,57,76
공직선거법,35,52,80,311,302,3,14,4,16,10,10,12
관세법,145,88,80,74,94,103,69,47,93,102,50,72
교통사고처리특례법,15025,12949,14792,15369,15901,15432,15635,15942,16961,15958,16170,15375
국가기술자격법,16,33,25,14,11,8,7,3,8,10,14,18
국가보안법,6,7,4,3,3,2,3,4,6,4,4,5
국민체육진흥법,37,27,37,39,46,23,49,35,54,50,47,26
국토의계획및이용에관한법률,214,97,166,141,143,134,124,117,89,119,101,124
근로기준법,4383,3045,3607,3522,3597,3964,3990,3741,3712,3415,3571,3776
근로자퇴직급여보장법,1403,936,1316,1197,1061,1207,1316,1164,1130,1085,1126,1062
낚시관리및육성법,50,46,96,61,221,59,86,127,54,70,74,47
노동조합및노동관계조정법,59,37,22,42,53,39,60,51,49,40,23,53
농수산물유통및가격안정에관한법률,6,1,3,1,4,1,2,2,2,5,3,3
농수산물의원산지표시에관한법률,674,265,304,239,269,234,280,263,438,116,145,91
농지법,158,43,72,82,67,81,67,51,51,51,60,61
대기환경보전법,225,169,276,358,247,222,208,186,222,194,220,198
대부업등의등록및금융이용자보호에관한법률,183,126,126,114,108,107,81,106,115,84,83,153
도로교통법,1322,1431,2162,2047,1764,1433,1354,1317,1228,1076,1026,1105
도로교통법(무면허운전),2614,4709,5852,5373,5337,4731,4218,4463,3872,2454,1847,1617
도로교통법(사고후미조치),6786,6267,6959,7157,7231,2631,2090,1799,1581,1500,1856,4390
도로교통법(음주운전),11131,12590,16782,18094,16788,16213,16330,16086,16199,13752,12862,11866
도로교통법(음주측정거부),177,171,208,240,282,267,302,265,253,255,199,186
도로법,217,149,187,156,162,180,179,162,195,183,224,201
도시및주거환경정비법,40,22,36,32,33,34,28,25,34,21,27,34
독점규제및공정거래에관한법률,6,6,3,3,3,1,1,4,1,4,5,2
디자인보호법,26,27,13,22,20,18,18,10,14,13,11,21
마약류관리에관한법률(대마),96,92,96,64,93,98,95,107,85,78,74,109
마약류관리에관한법률(마약),22,23,42,145,802,192,25,8,12,13,8,13
마약류관리에관한법률(향정),794,677,690,596,634,525,524,545,417,454,454,488
물환경보전법,13,4,18,36,3,3,2,1,51,43,59,54
배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,47,15,30,18,23,12,21,15,29,22,14,17
범죄수익은닉의규제및처벌등에관한법률,125,53,70,91,82,58,54,47,72,81,67,86
변호사법,332,186,383,349,1181,1098,734,631,834,563,529,497
병역법,70,103,66,50,69,48,72,46,48,34,44,52
보조금관리에관한법률,50,33,34,34,38,39,39,24,30,48,36,51
부동산실권리자명의등기에관한법률,59,34,54,34,34,36,33,33,49,35,40,39
부정경쟁방지및영업비밀보호에관한법률,158,152,183,177,156,214,139,117,144,161,183,162
부정수표단속법,29,55,43,37,49,32,30,29,38,29,37,34
사행행위등규제및처벌특례법,98,73,93,79,76,33,45,44,83,93,56,83
산림자원의조성및관리에관한법률,349,292,572,321,1035,923,499,319,669,614,616,230
산업안전보건법,293,164,335,269,247,183,190,181,172,222,191,202
산지관리법,366,267,337,308,318,313,300,296,274,273,224,311
상표법,131,105,81,100,48,66,98,51,68,76,105,90
석유및석유대체연료사업법,379,255,288,70,89,80,57,53,322,241,233,223
선박안전법,18,29,31,34,59,58,56,65,61,79,78,32
선박직원법,893,1362,1416,1181,1041,970,888,755,495,363,434,617
성매매알선등행위의처벌에관한법률,20,14,22,19,30,22,16,17,11,15,11,11
수도법,245,1251,395,382,449,359,355,284,298,336,265,203
수산업법,103,108,161,133,204,128,120,180,99,155,130,63
수산자원관리법,144,126,130,150,148,140,177,176,188,167,159,137
식품위생법,739,693,820,821,716,766,765,751,805,771,677,609
신용정보의이용및보호에관한법률,7,0,2,28,8,2,2,2,3,5,3,2
아동·청소년의성보호에관한법률(성매수등),60,76,74,51,64,67,102,85,44,34,32,56
아동·청소년의성보호에관한법률(음란물등),20,16,17,22,21,52,54,61,45,51,78,54
아동복지법,266,211,396,323,360,358,350,331,351,257,228,218
액화석유가스의안전관리및사업법,11,7,24,7,11,6,3,7,7,2,3,9
약사법,125,73,81,74,94,102,87,102,85,136,97,95
여객자동차운수사업법,220,203,191,363,137,142,69,61,97,78,121,145
여신전문금융업법,212,154,172,165,187,179,208,203,180,209,202,188
영유아보육법,33,19,25,10,10,23,13,6,14,15,14,20
예비군법,160,105,1138,392,403,694,883,407,871,901,1759,372
옥외광고물등의관리와옥외광고산업진흥에관한법률,79,85,135,39,56,42,48,40,25,27,27,84
외국환거래법,67,73,77,51,93,96,87,36,64,48,41,32
위험물안전관리법,78,53,81,105,134,130,106,127,102,75,83,51
유사수신행위의규제에관한법률,79,63,72,71,78,85,89,63,58,66,71,58
의료기기법,56,20,24,31,28,37,31,38,32,46,44,34
의료법,303,200,262,166,212,247,259,281,275,240,217,202
자동차관리법,1809,1987,2628,2134,2434,2216,2281,2109,2286,1966,1632,1531
자동차손해배상보장법,2960,3339,4533,4230,4308,3880,3641,3735,3640,3468,2905,2396
자본시장과금융투자업에관한법률,78,16,27,28,28,26,24,20,22,18,19,23
저작권법,1783,1167,1245,1014,963,1082,1083,1060,989,976,1284,1352
전자금융거래법,514,514,585,556,481,462,458,483,395,483,559,558
전파법,73,41,31,64,66,53,27,50,66,25,37,37
정보통신망이용촉진및정보보호등에관한법률,1116,993,1085,941,1029,1071,1248,1876,1074,899,1092,965
조세범처벌법,773,173,196,204,198,292,530,159,156,183,141,353
주민등록법,209,161,114,143,160,148,168,158,121,153,116,161
주차장법,37,21,46,51,30,12,43,18,13,21,18,22
주택법,49,76,36,51,46,35,31,39,28,66,37,36
직업안정법,34,51,56,33,42,43,43,33,42,36,30,30
집회및시위에관한법률,10,14,21,22,17,25,33,17,23,43,22,13
청소년보호법,695,670,578,678,836,769,814,765,900,908,719,750
총포·도검·화약류등의안전관리에관한법률,7,3,5,4,3,1,4,4,6,3,7,1
최저임금법,77,55,71,42,51,61,51,61,45,53,39,59
축산물위생관리법,614,132,127,97,140,146,98,94,137,53,36,56
출입국관리법,186,229,239,237,204,210,172,170,188,214,195,163
통신비밀보호법,21,13,15,13,16,16,13,26,9,8,10,18
특가법(도주차량),422,395,398,429,382,427,407,404,377,344,378,448
특허법,43,17,17,16,9,6,22,12,6,18,12,29
폐기물관리법,147,131,154,145,128,156,147,112,126,139,124,129
풍속영업의규제에관한법률,14,36,36,24,15,22,12,12,7,9,3,15
하천법,29,9,19,12,19,22,25,30,5,26,10,7
학교보건법,25,16,1,0,0,0,0,2,3,2,9,24
학원의설립운영및과외교습에관한법률,67,30,46,44,44,39,74,26,59,33,25,24
화물자동차운수사업법,92,112,156,215,230,246,200,214,240,152,156,97
화재로인한재해보상과보험가입에관한법률,0,2,2,1,2,2,0,0,3,0,1,2
화재예방·소방시설설치유지및안전관리에관한법률,4,3,2,1,3,2,2,2,2,0,2,2
화학물질관리법,103,35,51,62,57,58,50,52,57,64,48,42
기타특별법,4330,3852,5765,4349,4041,4313,4248,4153,4138,3701,3690,3690
